Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users3.json,NSGA-II,uniform_inversion_high_mutation,6,0.39518526086099964,883.8707361221313,116,28,28,3067.2875,1271758.1499999983
users3.json,NSGA-II,uniform_inversion_high_mutation,7,0.2733637013297661,805.8618161678314,105,18,18,3303.3833333333337,1272693.1877777765
users3.json,NSGA-II,uniform_inversion_high_mutation,8,0.12336916874295334,316.85635352134705,41,9,9,3358.134444444445,1187764.103333331
users3.json,NSGA-II,uniform_inversion_high_mutation,9,0.41670308847473647,1133.8100764751434,115,30,30,3085.399,1267552.4513333326
users3.json,NSGA-II,uniform_inversion_high_mutation,10,0.23551493694998538,825.6791744232178,78,12,12,3218.443333333334,1230072.3949999975
users3.json,NSGA-II,uniform_inversion_high_mutation,11,0.35964548582849143,1513.2196555137634,148,27,27,3127.083333333334,1261932.5903703691
users3.json,NSGA-II,uniform_inversion_high_mutation,12,0.23760586049935237,688.2824866771698,67,7,7,3260.382857142857,1245911.7371428588
users3.json,NSGA-II,uniform_inversion_high_mutation,13,0.36841218827725253,1550.6958558559418,161,18,18,3259.8633333333337,1319084.9394444425
users3.json,NSGA-II,uniform_inversion_high_mutation,14,0.11859974887611305,476.754243850708,47,12,12,3441.255833333334,1198897.0133333297
users3.json,NSGA-II,uniform_inversion_high_mutation,15,0.2247372853600812,676.2620499134064,67,22,22,3412.936818181819,1256938.9090909085
users3.json,NSGA-II,uniform_inversion_high_mutation,16,0.20246529630999271,1093.4199907779694,110,18,18,3290.5533333333337,1229880.6533333308
users3.json,NSGA-II,uniform_inversion_high_mutation,17,0.18492669883804114,822.3417179584503,83,19,19,3391.286315789474,1244768.6668421046
users3.json,NSGA-II,uniform_inversion_high_mutation,18,0.1106176857286407,387.6136283874512,37,9,9,3393.171111111111,1183047.4211111097
users3.json,NSGA-II,uniform_inversion_high_mutation,19,0.36657569606631674,991.6387393474579,100,9,9,3125.787777777778,1285426.0511111089
users3.json,NSGA-II,uniform_inversion_high_mutation,20,0.21985558536797972,762.3817367553711,76,16,16,3331.47875,1257846.5831249955
users3.json,NSGA-II,uniform_inversion_high_mutation,21,0.5858641326508434,2322.821661710739,237,21,21,2979.055238095238,1342049.2933333307
users3.json,NSGA-II,uniform_inversion_high_mutation,22,0.372870555999046,1568.593070268631,148,24,24,3129.849583333333,1276457.2008333304
users3.json,NSGA-II,uniform_inversion_high_mutation,23,0.1897876236326279,1132.1796126365662,102,20,20,3398.9715000000006,1260578.1374999986
users3.json,NSGA-II,uniform_inversion_high_mutation,24,0.3089284822913189,918.0934777259827,120,17,17,3182.0670588235294,1259052.4282352913
users3.json,NSGA-II,uniform_inversion_high_mutation,25,0.4557016405173078,1067.3149361610413,143,9,9,3068.0433333333335,1314532.5999999973
users3.json,NSGA-II,uniform_inversion_high_mutation,26,0.2751210042363943,831.2670102119446,109,16,16,3270.3525000000004,1272553.3593749963
users3.json,NSGA-II,uniform_inversion_high_mutation,27,0.4113196792121397,1084.7218172550201,138,13,13,3122.883076923077,1305956.145384614
users3.json,NSGA-II,uniform_inversion_high_mutation,28,0.4920842907746058,1014.3578057289124,130,14,14,3022.415,1305990.9914285697
users3.json,NSGA-II,uniform_inversion_high_mutation,29,0.15284035934387566,479.78339743614197,63,16,16,3461.8918750000003,1221745.1781249978
users3.json,NSGA-II,uniform_inversion_high_mutation,30,0.18058751553517818,480.17500495910645,61,19,19,3425.108421052632,1228556.460526313
users3.json,NSGA-II,uniform_inversion_high_mutation,31,0.23011426426765139,904.7580041885376,116,15,15,3311.792666666667,1248949.4866666642
users4.json,NSGA-II,uniform_inversion_high_mutation,1,0.13972585092280018,1305.5697708129883,104,15,15,5315.4800000000005,1962149.7120000008
users4.json,NSGA-II,uniform_inversion_high_mutation,2,0.19712621668537708,1082.6823666095734,86,15,15,5068.256666666668,1920897.4213333377
users4.json,NSGA-II,uniform_inversion_high_mutation,3,0.3187469145905553,2329.9515404701233,175,14,14,4930.068571428573,2041773.5585714353
users4.json,NSGA-II,uniform_inversion_high_mutation,4,0.2769263574572379,1749.3265843391418,133,16,16,4958.202500000001,1995066.2843750021
users4.json,NSGA-II,uniform_inversion_high_mutation,5,0.2115651079366236,2242.2441368103027,125,18,18,5128.9366666666665,1993294.577777779
users4.json,NSGA-II,uniform_inversion_high_mutation,6,0.4207966559826797,3881.2719447612762,238,29,29,4760.257586206897,2061568.4268965537
users4.json,NSGA-II,uniform_inversion_high_mutation,7,0.3723645080768164,1920.4185435771942,145,13,13,4674.140769230769,2006040.1123076952
users4.json,NSGA-II,uniform_inversion_high_mutation,8,0.32043094685704254,2837.983162879944,210,22,22,4891.395454545455,2008475.3536363668
users4.json,NSGA-II,uniform_inversion_high_mutation,9,0.25633757709970184,2891.555989265442,211,24,24,5041.199583333334,1995576.813333335
users4.json,NSGA-II,uniform_inversion_high_mutation,10,0.10577191515575494,872.4899308681488,65,13,13,5312.407692307694,1894035.641538462
users4.json,NSGA-II,uniform_inversion_high_mutation,11,0.2151743460391003,1541.9840750694275,107,15,15,5076.452000000002,1967524.6426666647
users4.json,NSGA-II,uniform_inversion_high_mutation,12,0.1858088467925665,1490.663343667984,108,21,21,5207.670952380953,1995815.4404761915
